machine,chunk,idx,cluster,step,chosen,families,scores,full_res
evc,chunk_50_54,51,0,1,robust,"[""phys"", ""robust""]","[-9.713580131530762, -9.70164680480957]","[0.00010763182217488065, 0.0003803032450377941]"
evc,chunk_50_54,51,0,2,robust,"[""phys"", ""robust""]","[-10.658577919006348, -9.93934440612793]","[0.0004987130523659289, 0.016217045485973358]"
evc,chunk_50_54,51,0,3,robust,"[""phys"", ""robust""]","[-10.498209953308105, -9.777073860168457]","[0.0002921244304161519, 0.02801048941910267]"
evc,chunk_50_54,51,0,4,robust,"[""phys"", ""robust""]","[-10.370057106018066, -9.332552909851074]","[0.00031979806954041123, 0.028592385351657867]"
evc,chunk_50_54,51,0,5,robust,"[""phys"", ""robust""]","[-10.51621150970459, -9.808913230895996]","[0.0004542314272839576, 0.03826039656996727]"
evc,chunk_50_54,51,0,6,robust,"[""phys"", ""robust""]","[-10.461201667785645, -9.896027565002441]","[0.0003840354038402438, 0.051453929394483566]"
evc,chunk_50_54,51,0,7,robust,"[""phys"", ""robust""]","[-10.694994926452637, -9.747200965881348]","[0.00046300573740154505, 0.04918718338012695]"
evc,chunk_50_54,51,0,8,robust,"[""phys"", ""robust""]","[-11.003252029418945, -9.428521156311035]","[0.0003722084511537105, 0.05176502466201782]"
evc,chunk_50_54,51,1,1,conv,"[""conv"", ""prox_tv""]","[-9.474276542663574, -9.693102836608887]","[9.13487674552016e-05, 0.00011259669554419816]"
evc,chunk_50_54,51,1,2,conv,"[""conv"", ""prox_tv""]","[-9.29658317565918, -9.49431324005127]","[7.457453466486186e-05, 9.688222053227946e-05]"
evc,chunk_50_54,51,1,3,prox_tv,"[""conv"", ""prox_tv""]","[-9.633788108825684, -9.244976997375488]","[0.00010737655975390226, 6.430669600376859e-05]"
evc,chunk_50_54,51,1,4,prox_tv,"[""conv"", ""prox_tv""]","[-9.849175453186035, -9.405028343200684]","[0.00020625791512429714, 0.0001139610176323913]"
evc,chunk_50_54,51,1,5,conv,"[""conv"", ""prox_tv""]","[-8.874156951904297, -9.346646308898926]","[5.6876193411881104e-05, 6.461272278102115e-05]"
evc,chunk_50_54,51,1,6,prox_tv,"[""conv"", ""prox_tv""]","[-10.261998176574707, -9.552095413208008]","[0.000262997840764001, 9.114153363043442e-05]"
evc,chunk_50_54,51,1,7,prox_tv,"[""conv"", ""prox_tv""]","[-9.59281063079834, -9.078908920288086]","[0.00011657984578050673, 6.286049756454304e-05]"
evc,chunk_50_54,51,1,8,conv,"[""conv"", ""prox_tv""]","[-9.414261817932129, -9.770085334777832]","[9.548021625960246e-05, 9.821382263908163e-05]"
evc,chunk_50_54,51,2,1,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-9.414128303527832, -10.247118949890137, -11.385723114013672]","[8.770195563556626e-05, 0.00039772450691089034, 0.11937557905912399]"
evc,chunk_50_54,51,2,2,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-8.997097969055176, -10.138060569763184, -11.21251106262207]","[6.855244282633066e-05, 0.0004188455641269684, 0.12104249000549316]"
evc,chunk_50_54,51,2,3,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-9.029810905456543, -10.222886085510254, -11.343510627746582]","[8.745303057366982e-05, 0.0003660358488559723, 0.12573477625846863]"
evc,chunk_50_54,51,2,4,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-9.025952339172363, -10.279572486877441, -11.32780647277832]","[9.223636880051345e-05, 0.0004544728435575962, 0.12058395147323608]"
evc,chunk_50_54,51,2,5,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-9.20176887512207, -10.2732515335083, -11.44302749633789]","[0.00011050445027649403, 0.0003800849081017077, 0.11996044963598251]"
evc,chunk_50_54,51,2,6,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-8.999346733093262, -10.194482803344727, -11.500594139099121]","[6.334458157652989e-05, 0.00044179148972034454, 0.12588666379451752]"
evc,chunk_50_54,51,2,7,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-9.116943359375, -10.283604621887207, -11.529974937438965]","[0.00010896132152993232, 0.0004768327053170651, 0.12063566595315933]"
evc,chunk_50_54,51,2,8,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-8.899752616882324, -10.162792205810547, -11.568049430847168]","[7.267202454386279e-05, 0.0004457574978005141, 0.12223266065120697]"
evc,chunk_50_54,51,3,1,dct,"[""dct"", ""had""]","[-9.505751609802246, -10.265748023986816]","[0.00011427758727222681, 0.00014898451627232134]"
evc,chunk_50_54,51,3,2,dct,"[""dct"", ""had""]","[-9.174314498901367, -9.627524375915527]","[9.224826499121264e-05, 0.00011095025547547266]"
evc,chunk_50_54,51,3,3,had,"[""dct"", ""had""]","[-9.546399116516113, -9.015271186828613]","[9.797804523259401e-05, 7.349339284701273e-05]"
evc,chunk_50_54,51,3,4,dct,"[""dct"", ""had""]","[-9.443819999694824, -10.528897285461426]","[0.00013412047701422125, 0.00045929005136713386]"
evc,chunk_50_54,51,3,5,had,"[""dct"", ""had""]","[-9.81790828704834, -9.540661811828613]","[0.0001160655592684634, 0.00011042824917240068]"
evc,chunk_50_54,51,3,6,dct,"[""dct"", ""had""]","[-9.510321617126465, -10.38316822052002]","[0.00012843507283832878, 0.00023690327361691743]"
evc,chunk_50_54,51,3,7,had,"[""dct"", ""had""]","[-9.70461368560791, -9.466651916503906]","[0.00010652552009560168, 9.988265810534358e-05]"
evc,chunk_50_54,51,3,8,dct,"[""dct"", ""had""]","[-9.790776252746582, -10.382529258728027]","[0.00014379566709976643, 0.0001858945906860754]"
evc,chunk_50_54,51,4,1,huber,"[""tv2"", ""huber""]","[-9.876420021057129, -9.601688385009766]","[0.0004724694590549916, 0.00017812373698689044]"
evc,chunk_50_54,51,4,2,huber,"[""tv2"", ""huber""]","[-9.380160331726074, -9.051488876342773]","[0.0006058891885913908, 0.0002387525892117992]"
evc,chunk_50_54,51,4,3,huber,"[""tv2"", ""huber""]","[-9.290255546569824, -9.126969337463379]","[0.00036628730595111847, 0.00023118479293771088]"
evc,chunk_50_54,51,4,4,huber,"[""tv2"", ""huber""]","[-9.262714385986328, -9.25374984741211]","[0.00035599872353486717, 0.00025137211196124554]"
evc,chunk_50_54,51,4,5,huber,"[""tv2"", ""huber""]","[-10.030281066894531, -9.396777153015137]","[0.0006509240483865142, 0.000280205364106223]"
evc,chunk_50_54,51,4,6,huber,"[""tv2"", ""huber""]","[-9.509953498840332, -9.271718978881836]","[0.0005796297336928546, 0.00029395875753834844]"
evc,chunk_50_54,51,4,7,huber,"[""tv2"", ""huber""]","[-9.667808532714844, -9.52185344696045]","[0.00046177173499017954, 0.0002573088859207928]"
evc,chunk_50_54,51,4,8,huber,"[""tv2"", ""huber""]","[-9.962817192077637, -9.241132736206055]","[0.0006661337683908641, 0.00024918379494920373]"
evc,chunk_55_59,55,0,1,phys,"[""phys"", ""robust""]","[-9.846135139465332, -10.294651985168457]","[0.00011086925951531157, 0.0017316824523732066]"
evc,chunk_55_59,55,0,2,phys,"[""phys"", ""robust""]","[-9.638041496276855, -9.997614860534668]","[7.652062049601227e-05, 0.001344900345429778]"
evc,chunk_55_59,55,0,3,phys,"[""phys"", ""robust""]","[-9.65820026397705, -9.954703330993652]","[0.00010314124665455893, 0.0013934227172285318]"
evc,chunk_55_59,55,0,4,phys,"[""phys"", ""robust""]","[-9.603358268737793, -9.905074119567871]","[0.00013876751472707838, 0.0006482896860688925]"
evc,chunk_55_59,55,0,5,phys,"[""phys"", ""robust""]","[-9.48815631866455, -9.878725051879883]","[7.981742237461731e-05, 0.0005566981853917241]"
evc,chunk_55_59,55,0,6,phys,"[""phys"", ""robust""]","[-9.624211311340332, -9.844624519348145]","[0.00010821815521921962, 0.0003506226057652384]"
evc,chunk_55_59,55,0,7,phys,"[""phys"", ""robust""]","[-9.458293914794922, -10.0232515335083]","[6.816375389462337e-05, 0.0006330214673653245]"
evc,chunk_55_59,55,0,8,phys,"[""phys"", ""robust""]","[-9.570716857910156, -9.98779582977295]","[8.351277210749686e-05, 0.0005166270420886576]"
evc,chunk_55_59,55,1,1,conv,"[""conv"", ""prox_tv""]","[-9.757681846618652, -10.279093742370605]","[8.114150114124641e-05, 0.0001345520286122337]"
evc,chunk_55_59,55,1,2,prox_tv,"[""conv"", ""prox_tv""]","[-10.08626651763916, -9.607059478759766]","[0.00025218745577149093, 9.402192517882213e-05]"
evc,chunk_55_59,55,1,3,conv,"[""conv"", ""prox_tv""]","[-9.628249168395996, -10.0643892288208]","[6.535975990118459e-05, 9.926612983690575e-05]"
evc,chunk_55_59,55,1,4,prox_tv,"[""conv"", ""prox_tv""]","[-9.770101547241211, -9.470820426940918]","[0.00017336150631308556, 7.071223808452487e-05]"
evc,chunk_55_59,55,1,5,conv,"[""conv"", ""prox_tv""]","[-9.622694969177246, -10.07688045501709]","[6.953175034141168e-05, 9.448381024412811e-05]"
evc,chunk_55_59,55,1,6,conv,"[""conv"", ""prox_tv""]","[-9.515185356140137, -9.982878684997559]","[6.594492151634768e-05, 7.785863272147253e-05]"
evc,chunk_55_59,55,1,7,prox_tv,"[""conv"", ""prox_tv""]","[-9.794076919555664, -9.596360206604004]","[7.883914076955989e-05, 7.33025444787927e-05]"
evc,chunk_55_59,55,1,8,conv,"[""conv"", ""prox_tv""]","[-9.55622673034668, -10.155986785888672]","[7.157882646424696e-05, 0.0001298079441767186]"
evc,chunk_55_59,55,2,1,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-10.03286075592041, -10.782992362976074, -13.708906173706055]","[0.00015319597150664777, 0.0007808240479789674, 0.15104131400585175]"
evc,chunk_55_59,55,2,2,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-9.594456672668457, -10.577248573303223, -13.815342903137207]","[9.955625864677131e-05, 0.0007669682963751256, 0.165305957198143]"
evc,chunk_55_59,55,2,3,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-9.629695892333984, -10.734352111816406, -13.815882682800293]","[7.322524470509961e-05, 0.0008495385991409421, 0.1454765945672989]"
evc,chunk_55_59,55,2,4,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-10.248778343200684, -11.885207176208496, -14.296899795532227]","[7.886729872552678e-05, 0.0007729163044132292, 0.15335625410079956]"
evc,chunk_55_59,55,2,5,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-10.310432434082031, -11.55620288848877, -14.137391090393066]","[9.916775888996199e-05, 0.0007904268568381667, 0.14505237340927124]"
evc,chunk_55_59,55,2,6,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-10.039877891540527, -11.507184982299805, -14.232378005981445]","[6.74864204484038e-05, 0.0007254554075188935, 0.14730645716190338]"
evc,chunk_55_59,55,2,7,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-9.912575721740723, -11.429322242736816, -14.36893367767334]","[7.798460137564689e-05, 0.0006820129347033799, 0.14638100564479828]"
evc,chunk_55_59,55,2,8,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-9.965141296386719, -11.36592960357666, -14.403813362121582]","[4.881035420112312e-05, 0.000789930927567184, 0.1429256647825241]"
evc,chunk_55_59,55,3,1,had,"[""dct"", ""had""]","[-10.275419235229492, -9.915874481201172]","[0.00014814070891588926, 8.982841245597228e-05]"
evc,chunk_55_59,55,3,2,dct,"[""dct"", ""had""]","[-9.832415580749512, -10.110564231872559]","[0.00011335526505718008, 0.00016766936460044235]"
evc,chunk_55_59,55,3,3,had,"[""dct"", ""had""]","[-9.768877983093262, -9.618489265441895]","[0.00010163350816583261, 8.610357326688245e-05]"
evc,chunk_55_59,55,3,4,had,"[""dct"", ""had""]","[-9.834059715270996, -9.646653175354004]","[0.00011868405999848619, 7.745008042547852e-05]"
evc,chunk_55_59,55,3,5,dct,"[""dct"", ""had""]","[-9.838202476501465, -10.27801513671875]","[9.61498444667086e-05, 0.00011077179078711197]"
evc,chunk_55_59,55,3,6,had,"[""dct"", ""had""]","[-10.030529022216797, -9.588440895080566]","[0.00011527210153872147, 6.272491737036034e-05]"
evc,chunk_55_59,55,3,7,dct,"[""dct"", ""had""]","[-9.669109344482422, -10.358166694641113]","[6.573663995368406e-05, 9.465921175433323e-05]"
evc,chunk_55_59,55,3,8,had,"[""dct"", ""had""]","[-9.98857307434082, -9.796643257141113]","[8.606719347881153e-05, 6.760736141586676e-05]"
evc,chunk_55_59,55,4,1,huber,"[""tv2"", ""huber""]","[-10.069933891296387, -9.934470176696777]","[0.00043119394103996456, 0.0003113194543402642]"
evc,chunk_55_59,55,4,2,tv2,"[""tv2"", ""huber""]","[-9.99113941192627, -10.55161190032959]","[0.0003448542265687138, 0.00038411267451010644]"
evc,chunk_55_59,55,4,3,tv2,"[""tv2"", ""huber""]","[-9.144606590270996, -9.939867973327637]","[0.0002085780433844775, 0.00027056975523009896]"
evc,chunk_55_59,55,4,4,huber,"[""tv2"", ""huber""]","[-9.820021629333496, -9.695841789245605]","[0.00031223311088979244, 0.00021025302703492343]"
evc,chunk_55_59,55,4,5,tv2,"[""tv2"", ""huber""]","[-10.353923797607422, -10.394064903259277]","[0.00048010199679993093, 0.0004004808433819562]"
evc,chunk_55_59,55,4,6,tv2,"[""tv2"", ""huber""]","[-9.351822853088379, -10.25888729095459]","[0.0002644627820700407, 0.00030805799178779125]"
evc,chunk_55_59,55,4,7,tv2,"[""tv2"", ""huber""]","[-9.689414978027344, -9.87487506866455]","[0.00020907197904307395, 0.00020170025527477264]"
evc,chunk_55_59,55,4,8,tv2,"[""tv2"", ""huber""]","[-9.974181175231934, -10.03029727935791]","[0.0003876770497299731, 0.0003251922898925841]"
evc,chunk_55_59,55,5,1,tv2,"[""dct"", ""tv2""]","[-10.052421569824219, -10.018611907958984]","[0.0001354636187897995, 0.00031602862873114645]"
evc,chunk_55_59,55,5,2,tv2,"[""dct"", ""tv2""]","[-9.94105339050293, -9.54320240020752]","[0.0002213565312558785, 0.0003282500838395208]"
evc,chunk_55_59,55,5,3,tv2,"[""dct"", ""tv2""]","[-9.782889366149902, -9.61984634399414]","[0.00011626072955550626, 0.0002667723747435957]"
evc,chunk_55_59,55,5,4,tv2,"[""dct"", ""tv2""]","[-10.05696964263916, -9.666581153869629]","[0.00011433615873102099, 0.0002573452948126942]"
evc,chunk_55_59,55,5,5,tv2,"[""dct"", ""tv2""]","[-9.946918487548828, -9.681933403015137]","[0.00011516702215885743, 0.0003350184124428779]"
evc,chunk_55_59,55,5,6,tv2,"[""dct"", ""tv2""]","[-10.04006290435791, -9.81353759765625]","[0.0001595934445504099, 0.0003056792775169015]"
evc,chunk_55_59,55,5,7,tv2,"[""dct"", ""tv2""]","[-9.983469009399414, -9.741388320922852]","[0.00013005651999264956, 0.00023399008205160499]"
evc,chunk_55_59,55,5,8,tv2,"[""dct"", ""tv2""]","[-10.044405937194824, -9.876063346862793]","[0.00011453974002506584, 0.0003450490767136216]"
evc,chunk_55_59,56,0,1,phys,"[""phys"", ""robust""]","[-15.041422843933105, -15.487988471984863]","[0.0244744922965765, 0.1760493516921997]"
evc,chunk_55_59,56,0,2,robust,"[""phys"", ""robust""]","[-15.69809627532959, -15.322115898132324]","[0.008053338155150414, 0.059300556778907776]"
evc,chunk_55_59,56,0,3,phys,"[""phys"", ""robust""]","[-14.259181022644043, -15.942038536071777]","[0.031921498477458954, 0.2070937603712082]"
evc,chunk_55_59,56,0,4,phys,"[""phys"", ""robust""]","[-15.906839370727539, -16.149494171142578]","[0.0044069294817745686, 0.08340659737586975]"
evc,chunk_55_59,56,0,5,robust,"[""phys"", ""robust""]","[-16.269344329833984, -15.95531177520752]","[0.012582633644342422, 0.061900705099105835]"
evc,chunk_55_59,56,0,6,robust,"[""phys"", ""robust""]","[-16.11949348449707, -14.167657852172852]","[0.14069175720214844, 0.11813027411699295]"
evc,chunk_55_59,56,0,7,phys,"[""phys"", ""robust""]","[-14.802132606506348, -16.17449951171875]","[0.010091271251440048, 0.2753708064556122]"
evc,chunk_55_59,56,0,8,phys,"[""phys"", ""robust""]","[-16.02708625793457, -18.813291549682617]","[0.0016208691522479057, 0.3311765789985657]"
evc,chunk_55_59,56,1,1,prox_tv,"[""conv"", ""prox_tv""]","[-14.079594612121582, -13.636834144592285]","[0.0045096478424966335, 0.001731228781864047]"
evc,chunk_55_59,56,1,2,conv,"[""conv"", ""prox_tv""]","[-14.101056098937988, -15.168652534484863]","[0.006260280031710863, 0.023195983842015266]"
evc,chunk_55_59,56,1,3,conv,"[""conv"", ""prox_tv""]","[-19.50354766845703, -20.009506225585938]","[0.04464922472834587, 0.06702696532011032]"
evc,chunk_55_59,56,1,4,conv,"[""conv"", ""prox_tv""]","[-16.519460678100586, -17.077625274658203]","[0.026714656502008438, 0.031654421240091324]"
evc,chunk_55_59,56,1,5,conv,"[""conv"", ""prox_tv""]","[-15.347992897033691, -15.886199951171875]","[0.02595541812479496, 0.01042072381824255]"
evc,chunk_55_59,56,1,6,conv,"[""conv"", ""prox_tv""]","[-17.430150985717773, -18.893775939941406]","[0.005943048279732466, 0.02456793561577797]"
evc,chunk_55_59,56,1,7,prox_tv,"[""conv"", ""prox_tv""]","[-14.885260581970215, -14.81548023223877]","[0.02397163398563862, 0.012057486921548843]"
evc,chunk_55_59,56,1,8,conv,"[""conv"", ""prox_tv""]","[-18.260513305664062, -21.328184127807617]","[0.02499387599527836, 0.04895276576280594]"
evc,chunk_55_59,56,2,1,wavelet,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-14.84846019744873, -14.366490364074707, -18.35336685180664]","[0.02217159792780876, 0.005002765450626612, 0.64007967710495]"
evc,chunk_55_59,56,2,2,wavelet,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-19.181507110595703, -18.834932327270508, -24.86104965209961]","[0.05682525411248207, 0.0246586874127388, 0.6070311069488525]"
evc,chunk_55_59,56,2,3,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-20.743576049804688, -21.030311584472656, -27.14609146118164]","[0.07210925966501236, 0.040347881615161896, 1.2478642463684082]"
evc,chunk_55_59,56,2,4,wavelet,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-19.613121032714844, -18.824264526367188, -24.241844177246094]","[0.023557478561997414, 0.03685322031378746, 0.9542050957679749]"
evc,chunk_55_59,56,2,5,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-14.016586303710938, -14.31983470916748, -15.871722221374512]","[0.013335077092051506, 0.013029774650931358, 0.11295322328805923]"
evc,chunk_55_59,56,2,6,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-16.318408966064453, -17.504467010498047, -22.206018447875977]","[0.0036542899906635284, 0.02215181291103363, 0.8493618965148926]"
evc,chunk_55_59,56,2,7,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-16.024484634399414, -16.204730987548828, -19.914785385131836]","[0.005220147781074047, 0.02993752807378769, 0.4619961678981781]"
evc,chunk_55_59,56,2,8,conv_lowtv,"[""conv_lowtv"", ""wavelet"", ""inr""]","[-16.655988693237305, -17.903934478759766, -19.849506378173828]","[0.020813634619116783, 0.042727068066596985, 0.4015878736972809]"
evc,chunk_55_59,56,3,1,had,"[""dct"", ""had""]","[-14.661493301391602, -14.10561752319336]","[0.009157472290098667, 0.000896032783202827]"
