seed,image,chosen,score_margin,chosen_score,score_argmax,chosen_is_score_argmax,full_res_argmin,chosen_is_min_full_res,chosen_full_res,min_full_res,weighted_score_rank,mean_score_rank,mix_entropy_norm,mix_w_path0,mix_w_path1,mix_w_path2,mix_w_path3,mix_w_path4,mix_w_path5
2,kodim01,path3,0.8886407911777496,0.5936516523361206,path3,1,path2,0,1.1734584404621273e-05,2.131955234574434e-08,4,6,0.5048362014941775,0.008920661173760891,0.018212730064988136,0.05757022649049759,0.7511523365974426,0.07819770276546478,0.08594629913568497
2,kodim02,path3,0.9453161954879761,0.6677476167678833,path3,1,path1,0,6.802270945627242e-06,2.6277115594552924e-08,4,6,0.4739025128277374,0.012177969329059124,0.01632223278284073,0.038089461624622345,0.7728580832481384,0.07541558891534805,0.08513662219047546
2,kodim03,path3,0.4325813055038452,0.9708101749420166,path3,1,path1,0,7.246045697684167e-06,2.1245670112080006e-08,4,6,0.6528155933689849,0.0017698946176096797,0.007447094656527042,0.0309752207249403,0.5102038383483887,0.22746936976909637,0.2221345603466034
2,kodim04,path3,0.27689433097839355,0.8723694086074829,path3,1,path0,0,3.602189462981187e-05,4.1558692598364644e-10,4,6,0.6040265251923354,0.00961996242403984,0.014862743206322193,0.023370051756501198,0.6124153137207031,0.11927652359008789,0.22045540809631348
2,kodim05,path3,0.8281306177377701,0.7563511729240417,path3,1,path2,0,2.0981195120839402e-05,4.139614873110986e-09,4,6,0.5058329348147471,0.009041236713528633,0.013507159426808357,0.05405324324965477,0.7460191249847412,0.08286857604980469,0.09451065957546234
2,kodim06,path3,0.7632341235876083,0.6257685422897339,path3,1,path1,0,1.0419671525596641e-05,4.832621769423895e-08,4,6,0.5522509008164549,0.005369680002331734,0.018038852140307426,0.04763635993003845,0.701034665107727,0.11601436138153076,0.11190608888864517
2,kodim07,path3,0.7039005160331726,0.6233367919921875,path3,1,path2,0,1.461229294363875e-05,9.222667785024896e-08,4,6,0.5701714105769777,0.004536348860710859,0.014990263618528843,0.048038218170404434,0.6778244376182556,0.12499488890171051,0.12961581349372864
2,kodim08,path3,0.6650192961096764,0.7141857147216797,path3,1,path2,0,9.465231414651498e-06,5.231656885484881e-08,4,6,0.6146472273301369,0.003635370871052146,0.01264180801808834,0.04452946037054062,0.6163267493247986,0.1632639765739441,0.1596025973558426
2,kodim09,path3,0.7625684812664986,0.6403882503509521,path3,1,path2,0,7.785890375089366e-06,6.129455831782593e-10,4,6,0.6177899425342568,0.004260037560015917,0.01444549486041069,0.04831550270318985,0.6205587983131409,0.1588442623615265,0.15357591211795807
2,kodim10,path3,0.7630708813667297,0.609730064868927,path3,1,path2,0,1.1082799574069213e-05,8.642499693678474e-08,4,6,0.6018643424280047,0.004412598442286253,0.014481175690889359,0.04239404574036598,0.6361409425735474,0.1537015289068222,0.14886972308158875
2,kodim11,path3,0.8044930025935173,0.7138321399688721,path3,1,path1,0,2.5670085960882716e-05,2.245605230655201e-07,4,6,0.5174592055951843,0.005474775098264217,0.01454609539359808,0.04269932955503464,0.7255188822746277,0.1306176483631134,0.08114336431026459
2,kodim12,path3,0.34542977809906006,0.9423865079879761,path3,1,path2,0,3.3879005059134215e-06,6.580027900326968e-08,4,6,0.6688843095420012,0.0016720701241865754,0.007325467653572559,0.03003748692572117,0.4667928218841553,0.24524849653244019,0.24892368912696838
